Category,Name,Variant Name,Price,URL,Image,Alcool,Type,uid
Bière,Pilsner Czeck,,5.50,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/pilsner-czeck,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/veux-tu-une-biere-placeholder_ecd258cb-a4fa-4379-a62b-d156ba8be570.png?v=1620249393,5%,blonde,d4266b348f0f4f43b352819499245b0c
Bière,Helix - Saison Houblonnée,,5.75,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/helix-saison-houblonnee,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/veux-tu-une-biere-nouvelle-france-helix-saison-houblonnee.png?v=1620329244,6.7%,blonde,966216630b11491094c895afdb3b950e
Bière,L'Atelier,,5.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/latelier,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/veux-tu-une-biere-saint-pancrace-l-atelier.png?v=1619187605,5%,blonde,653b9eb52eb346188f47422963fca49c
Bière,La pompier,,4.50,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/la-pompier,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/veux-tu-une-biere-la-mouche-la-pompier.png?v=1619117615,4%,blonde,e7a085aa66ad4f48963d188d9b28bf5f
Bière,89,,4.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/89,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/veux-tu-une-biere-harricana-89-pilsner-bohemienne.png?v=1618605304,5%,blonde,1be5ce73b05f4dde808cab0565dbf9d3
Bière,Saison Eldorado,,6.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/saison-el-dorado,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/ma-brasserie-saison-eldorado-600-714.png?v=1618424055,5%,blonde,983fc528ea7c4d15b3c6a91b911c9333
Bière,Flacatoune,,5.75,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/flacatoune,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/veux-tu-une-biere-charlevoix-flacatoune.png?v=1618496217,7%,blonde,b3f46781ff29443d95886c5f2ae69158
Bière,Kellerbear,,7.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/kellerbear,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/veux-tu-une-biere-sutton-brouerie-kellerbear.png?v=1618679522,5.4%,blonde,0547e4b1c7374366a169924866f3ca5c
Bière,Les Plongeuse du dimanche,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/les-plongeuse-du-dimanche,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/a_la_derive_les_plongeuses_du_dimanche_600_714.png?v=1617814983,5%,blonde,394dfd2a6c274595b9dcc139a4b1554c
Bière,Colorado,,7.75,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/colorado,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/castor_colorado_600_714.png?v=1617740899,6.2%,blonde,bf87044bca194ffc81406d04c258707f
